version,fork,shape,size,ns,bytes,count,equivalent
baseline,5,array_positional,256,2965.281,2104,0,false
baseline,5,deep_unary,8192,1829300,1066566.667,1,true
baseline,5,where_mybatis,2,2935.645,2600,2,true
baseline,5,json_constructor,1,1685.840,1136,0,false
baseline,5,join_named,4,6119.238,3968,4,true
baseline,5,deep_unary,256,59272.222,33048,1,true
baseline,5,where_positional,128,83642.920,35904,128,true
baseline,5,array_mybatis,8192,151874650,1814143276,8192,true
baseline,5,bare_concat,256,21780.580,3343.606,1,false
baseline,5,bare_concat,8192,659200,134745.067,1,false
baseline,5,where_mybatis,16,17467.383,15040,16,true
baseline,5,array_named,4096,281148.718,395776,4096,true
baseline,5,join_positional,4,5941.064,3824,4,true
baseline,5,bare_concat,4096,331793.333,43616,1,false
baseline,5,where_named,16,12276.318,7960,16,true
baseline,5,jdbc_escape,1,2058.398,1176,1,true
baseline,5,quoted_and_comments,2,1880.518,1192,2,true
baseline,5,array_mybatis,1024,2556612.500,27681512,1024,true
baseline,5,geometric_cast,1,1689.941,792,1,true
baseline,5,array_mybatis,256,252148.980,1777560,256,true
baseline,5,array_positional,8192,81733.577,148152,0,false
baseline,5,where_positional,16,10663.867,5224,16,true
baseline,5,bare_concat,1024,84286.325,11360,1,false
baseline,5,array_positional,4096,36125.085,25144,0,false
baseline,5,json_operator,1,1723.730,1128,1,true
baseline,5,array_named,1024,66915.607,87088,1024,true
baseline,5,deep_unary,4096,893410,510648,1,true
baseline,5,join_mybatis,4,7451.563,5896,4,true
baseline,5,cached_positional_same,2,13.733,0,2,true
baseline,5,cached_positional_equal,2,17.919,0,2,true
baseline,5,cached_named_same,2,13.082,0,2,true
baseline,5,cached_named_equal,2,17.495,0,2,true
before,1,array_positional,4096,917425,1613680,4096,true
before,1,array_mybatis,1024,230920.455,316088,1024,true
before,1,quoted_and_comments,2,2932.178,1608,2,true
before,1,array_named,4096,336759.091,510400,4096,true
before,1,no_parameters,0,1430.664,1400,0,true
before,1,where_positional,16,15184.521,6128,16,true
before,1,deep_unary,256,79784.906,38384,1,true
before,1,array_positional,1024,218439.583,418688,1024,true
before,1,array_named,256,18530.303,30168,256,true
before,1,json_constructor,1,2490.967,1576,1,true
before,1,where_positional,128,105915.869,42632,128,true
before,1,array_mybatis,8192,1888166.667,2750990.667,8192,true
before,1,geometric_cast,1,2277.051,1400,1,true
before,1,array_positional,8192,1730466.667,3573214.667,8192,true
before,1,where_mybatis,2,3116.113,4008,2,true
before,1,bare_concat,256,31802.909,13512,256,true
before,1,where_positional,2,2975.293,1872,2,true
before,1,deep_unary,4096,1242157.143,585168,1,true
before,1,array_positional,256,53982.609,101310.817,256,true
before,1,where_named,16,12456.836,11552,16,true
before,1,bare_concat,1024,119559.722,61056,1024,true
