version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
current,end_trivia,5,61.275,58.606,62.717,0,true
baseline,end_word,5,47.806,46.188,52.223,0,true
baseline-control,end_word,3,37.096,36.613,46.195,0,true
before,end_word,1,36.136,36.136,36.136,48,true
current,end_word,5,27.345,26.662,28.387,0,true
baseline,index_composite,5,2570.023,2368.733,2751.251,2256,true
baseline-control,index_composite,3,2307.732,2243.286,2333.401,2256,true
before,index_composite,1,862.821,862.821,862.821,1416,true
current,index_composite,5,466.149,430.443,491.767,0,true
baseline,index_composite_comments,5,745.496,666.109,791.064,792,true
baseline-control,index_composite_comments,3,647.192,597.378,692.024,792,true
before,index_composite_comments,1,452.845,452.845,452.845,720,true
current,index_composite_comments,5,149.217,148.071,154.811,0,true
baseline,index_custom_composite,5,1377.532,1158.865,1502.538,792,true
baseline-control,index_custom_composite,3,1152.543,1081.087,1169.246,792,true
before,index_custom_composite,1,773.194,773.194,773.194,888,true
current,index_custom_composite,5,391.065,385.148,401.184,0,true
baseline,index_custom_separator,5,1713.488,1453.366,2155.984,968,false
baseline-control,index_custom_separator,3,1629.662,1472.836,1691.754,968,false
before,index_custom_separator,1,122.801,122.801,122.801,216,true
current,index_custom_separator,5,92.143,89.168,97.849,48,true
baseline,index_early,5,199.585,195.243,223.266,120,true
baseline-control,index_early,3,179.197,164.25,189.191,120,true
before,index_early,1,158.962,158.962,158.962,264,true
current,index_early,5,67.342,62.571,85.928,0,true
baseline,index_from_inside_quote,5,409.803,384.489,447.101,464,true
baseline-control,index_from_inside_quote,3,373.381,349.208,373.887,464,true
before,index_from_inside_quote,1,352.877,352.877,352.877,464,true
current,index_from_inside_quote,5,141.617,141.166,147.416,0,true
baseline,index_hash,5,125244.231,122778.358,135395.42,128880,true
baseline-control,index_hash,3,122266.48,121326.012,125697.143,128880,true
before,index_hash,1,10095.155,10095.155,10095.155,16304,true
current,index_hash,5,7002.859,6678.755,8228.178,632,true
baseline,index_late,5,105481.938,95733.632,126834.978,64616,true
baseline-control,index_late,3,95663.598,95602.336,98837.281,64616,true
before,index_late,1,24897.281,24897.281,24897.281,32560,true
current,index_late,5,16317.891,16231.088,19509.698,0,true
baseline,index_missing,5,58874.091,49388.914,63756.659,50728,true
baseline-control,index_missing,3,48370.386,48321.889,50994.157,50728,true
before,index_missing,1,24559.669,24559.669,24559.669,32152,true
current,index_missing,5,16702.446,16176.499,18184.394,0,true
baseline,index_near_matches,5,2933950,2726540,3299657.143,3275376,true
baseline-control,index_near_matches,3,2698412.5,2640288.889,2792400,3275376,true
before,index_near_matches,1,52474.757,52474.757,52474.757,80544,true
current,index_near_matches,5,16619.175,15884.153,18446.538,0,true
baseline,index_quoted,5,53191.406,48196.887,59144,17664,true
baseline-control,index_quoted,3,54230.352,53910.714,54269.697,17664,true
before,index_quoted,1,63164.024,63164.024,63164.024,17736,true
current,index_quoted,5,3518.525,3468.522,6626.577,0,true
baseline,index_sensitive,5,471.71,437.829,564.539,480,true
baseline-control,index_sensitive,3,430.061,412.559,440.39,480,true
before,index_sensitive,1,403.095,403.095,403.095,528,true
current,index_sensitive,5,195.897,195.263,205.476,0,true
baseline,index_whitespace,5,106.986,98.623,115.563,72,true
baseline-control,index_whitespace,3,96.192,94.349,101.531,72,true
before,index_whitespace,1,83.848,83.848,83.848,120,true
current,index_whitespace,5,46.172,43.212,51.698,0,true
baseline,next_custom,5,243.868,239.198,266.996,48,false
baseline-control,next_custom,3,238.192,129.665,242.195,48,false
before,next_custom,1,37.32,37.32,37.32,96,true
current,next_custom,5,21.5,20.435,30.613,48,true
baseline,next_empty,5,64.6,59.96,74.718,0,true
baseline-control,next_empty,3,60.357,57.505,65.034,0,true
before,next_empty,1,64.799,64.799,64.799,48,true
current,next_empty,5,34.494,33.093,34.838,0,true
baseline,next_hash,5,506.434,490.736,548.031,336,true
baseline-control,next_hash,3,471.087,365.333,492.854,336,true
before,next_hash,1,191.865,191.865,191.865,392,true
current,next_hash,5,117.551,102.03,149.221,248,true
baseline,next_hash_operator,5,249.648,241.647,274.13,48,true
baseline-control,next_hash_operator,3,245.891,129.797,252.066,48,true
before,next_hash_operator,1,55.738,55.738,55.738,96,true
current,next_hash_operator,5,27.666,26.957,29.371,0,true
baseline,next_mybatis_single,5,63.188,59.793,66.72,48,true
baseline-control,next_mybatis_single,3,55.784,46.086,62.192,48,true
before,next_mybatis_single,1,49.9,49.9,49.9,96,true
current,next_mybatis_single,5,20.997,19.598,23.778,0,true
baseline,next_quote,5,20253.984,18194.743,21946.476,8760,true
baseline-control,next_quote,3,19216.081,19183.209,19494.026,8760,true
before,next_quote,1,20882.893,20882.893,20882.893,8808,true
current,next_quote,5,1020.026,980.112,1077.21,8760,true
baseline,next_trivia,5,125.252,118.93,172.218,48,true
baseline-control,next_trivia,3,111.107,95.083,119.241,48,true
before,next_trivia,1,108.255,108.255,108.255,96,true
current,next_trivia,5,67.012,65.267,80.785,48,true
baseline,next_word,5,76.715,74.07,81.242,48,true
baseline-control,next_word,3,62.604,55.381,74.089,48,true
before,next_word,1,53.746,53.746,53.746,96,true
current,next_word,5,35.583,33.91,39.435,48,true
baseline,read_comments,5,20384.483,19348.062,25719.487,16448,true
baseline-control,read_comments,3,19701.667,18124.758,20393.188,16448,true
before,read_comments,1,29067.742,29067.742,29067.742,29200,true
current,read_comments,5,10053.608,9714.306,11004.426,6680,true
baseline,read_cte,5,15396.14,14977.632,17135.112,20064,true
baseline-control,read_cte,3,15432.523,15071.788,15686.981,20064,true
before,read_cte,1,16841.634,16841.634,16841.634,24368,true
current,read_cte,5,2995.03,2915.463,3488.513,3720,true
