version,case,fork,ns,bytes
baseline,config_default,4,3258.328,9880
baseline,config_default,5,2679.552,9880
baseline,classify_delete,1,600.173,960
baseline,classify_delete,2,403.415,960
baseline,classify_delete,3,385.525,960
baseline,classify_delete,4,422.37,960
baseline,classify_delete,5,426.22,960
baseline,index_quoted,1,56754.074,17688
baseline,index_quoted,2,51323.792,17688
baseline,index_quoted,3,48196.887,17664
baseline,index_quoted,4,59144,17664
baseline,index_quoted,5,53191.406,17664
baseline,index_from_inside_quote,1,447.101,512
baseline,index_from_inside_quote,2,409.803,512
baseline,index_from_inside_quote,3,396.675,464
baseline,index_from_inside_quote,4,419.751,464
baseline,index_from_inside_quote,5,384.489,464
baseline,read_executable_comment,1,142.029,248
baseline,read_executable_comment,2,118.945,248
baseline,read_executable_comment,3,112.401,248
baseline,read_executable_comment,4,117.556,248
baseline,read_executable_comment,5,115.387,248
baseline,read_mutation,1,395.844,520
baseline,read_mutation,2,304.038,520
baseline,read_mutation,3,313.753,520
baseline,read_mutation,4,306.747,520
baseline,read_mutation,5,314.579,520
baseline,index_composite_comments,1,791.064,864
baseline,index_composite_comments,2,745.496,864
baseline,index_composite_comments,3,677.598,792
baseline,index_composite_comments,4,758.087,792
baseline,index_composite_comments,5,666.109,792
baseline,read_large,1,202353.571,140992
baseline,read_large,2,161481.046,140896
baseline,read_large,3,160618.792,140992
baseline,read_large,4,170944.286,140992
baseline,read_large,5,164774.444,140896
baseline,read_upsert,1,153.561,344
baseline,read_upsert,2,147.387,344
baseline,read_upsert,3,146.211,344
baseline,read_upsert,4,144.103,344
baseline,read_upsert,5,145.761,344
baseline,tokenize_dense_concat_4096,1,358889.147,31000
baseline,tokenize_dense_concat_4096,2,163181.102,31000
baseline,tokenize_dense_concat_4096,3,165560.305,31000
baseline,tokenize_dense_concat_4096,4,159162.222,31000
baseline,tokenize_dense_concat_4096,5,162408.527,31000
baseline,read_literal,1,4043.987,4032
baseline,read_literal,2,3562.164,3936
baseline,read_literal,3,3598.876,4032
baseline,read_literal,4,3668.339,4032
baseline,read_literal,5,3661.268,3936
baseline,read_insert_insert,1,4989.671,7168
baseline,read_insert_insert,2,4883.096,7168
baseline,read_insert_insert,3,4736.885,7168
baseline,read_insert_insert,4,4747.131,7168
baseline,read_insert_insert,5,4934.399,7168
baseline,read_comments,1,25719.487,16448
baseline,read_comments,2,20465.741,16352
baseline,read_comments,3,19348.062,16448
baseline,read_comments,4,19683.562,16448
baseline,read_comments,5,20384.483,16352
baseline,index_late,1,109476.214,77024
baseline,index_late,2,103582.895,77024
baseline,index_late,3,95733.632,64616
baseline,index_late,4,105481.938,64616
baseline,index_late,5,126834.978,64616
baseline,end_trivia,1,104.587,0
baseline,end_trivia,2,93.25,0
baseline,end_trivia,3,96.595,0
baseline,end_trivia,4,92.253,0
baseline,end_trivia,5,92.672,0
baseline,read_quoted_large,1,286177.465,107904
baseline,read_quoted_large,2,261193.103,107808
baseline,read_quoted_large,3,278495.89,107904
baseline,read_quoted_large,4,283888.235,107904
baseline,read_quoted_large,5,277894.231,107808
baseline,tokenize_mybatis,1,7128.52,5752
baseline,tokenize_mybatis,2,5598.985,5752
baseline,tokenize_mybatis,3,5174.309,5752
baseline,tokenize_mybatis,4,5427.473,5752
baseline,tokenize_mybatis,5,5261.711,5752
baseline,select_cte,1,2782.111,4896
baseline,select_cte,2,2620.83,4896
baseline,select_cte,3,2673.183,4896
baseline,select_cte,4,2623.925,4896
baseline,select_cte,5,2565.411,4896
baseline,read_insert_multiple,1,4251.442,6208
baseline,read_insert_multiple,2,3924.47,6208
baseline,read_insert_multiple,3,3858.309,6208
baseline,read_insert_multiple,4,4052.229,6208
baseline,read_insert_multiple,5,3916.147,6208
baseline,index_hash,1,125840.23,129240
baseline,index_hash,2,122778.358,129240
baseline,index_hash,3,124709.615,128880
baseline,index_hash,4,135395.42,128880
baseline,index_hash,5,125244.231,128880
baseline,tokenize_hash_rows,1,2485275,331144
baseline,tokenize_hash_rows,2,1862416.667,331144
baseline,tokenize_hash_rows,3,1798283.333,331144
baseline,tokenize_hash_rows,4,1922554.545,331144
baseline,tokenize_hash_rows,5,1967066.667,331144
baseline,index_near_matches,1,3198437.5,3287712
baseline,index_near_matches,2,2933950,3287712
baseline,index_near_matches,3,2825662.5,3275376
baseline,index_near_matches,4,3299657.143,3275376
baseline,index_near_matches,5,2726540,3275376
baseline,read_insert_cte,1,24715.035,34976
baseline,read_insert_cte,2,23517.935,34976
baseline,read_insert_cte,3,24376.705,34976
baseline,read_insert_cte,4,25337.348,34976
baseline,read_insert_cte,5,25487.118,34976
baseline,read_multiple,1,2592.406,4352
baseline,read_multiple,2,2465.103,4256
baseline,read_multiple,3,2410.256,4352
baseline,read_multiple,4,2567.069,4352
baseline,read_multiple,5,2499.866,4256
baseline,end_word,1,52.223,0
baseline,end_word,2,46.755,0
baseline,end_word,3,50.588,0
baseline,end_word,4,47.806,0
baseline,end_word,5,46.188,0
baseline,tokenize_hash_identifiers,1,63204.886,65528
baseline,tokenize_hash_identifiers,2,62313.897,65528
baseline,tokenize_hash_identifiers,3,60182.258,65528
baseline,tokenize_hash_identifiers,4,63555.723,65528
baseline,tokenize_hash_identifiers,5,66409.953,65528
baseline,read_hash,1,1660823.077,1534112
baseline,read_hash,2,1509300,1534016
baseline,read_hash,3,1484246.154,1534112
baseline,read_hash,4,1595221.429,1534112
baseline,read_hash,5,1510444.444,1534016
baseline,index_early,1,223.266,120
baseline,index_early,2,197.364,120
baseline,index_early,3,199.585,120
baseline,index_early,4,207.454,120
baseline,index_early,5,195.243,120
baseline,end_quote,1,12857.849,0
baseline,end_quote,2,8195.222,0
baseline,end_quote,3,7892.843,0
baseline,end_quote,4,14962.678,0
baseline,end_quote,5,10522.402,0
baseline,tokenize_mybatis_single,1,71.91,152
baseline,tokenize_mybatis_single,2,76.929,152
baseline,tokenize_mybatis_single,3,67.086,152
baseline,tokenize_mybatis_single,4,72.776,152
baseline,tokenize_mybatis_single,5,69.685,152
baseline,tokenize_keep_comments,1,5974.271,3504
baseline,tokenize_keep_comments,2,4253.954,3504
baseline,tokenize_keep_comments,3,4128.235,3504
baseline,tokenize_keep_comments,4,4333.333,3504
baseline,tokenize_keep_comments,5,4106.829,3504
baseline,read_insert_comments,1,50776.658,33664
baseline,read_insert_comments,2,35240.888,33664
baseline,read_insert_comments,3,36456.324,33664
baseline,read_insert_comments,4,37038.997,33664
baseline,read_insert_comments,5,36793.44,33664
baseline,tokenize_unicode,1,897.099,1088
baseline,tokenize_unicode,2,807.333,1088
baseline,tokenize_unicode,3,850.331,1088
baseline,tokenize_unicode,4,828.023,1088
baseline,tokenize_unicode,5,816.227,1088
baseline,select_quotes,1,419.768,960
baseline,select_quotes,2,424.005,960
baseline,select_quotes,3,416.013,960
baseline,select_quotes,4,448.793,960
baseline,select_quotes,5,448.958,960
baseline,read_mysql_dash,1,414.785,544
baseline,read_mysql_dash,2,327.785,544
baseline,read_mysql_dash,3,330.857,544
baseline,read_mysql_dash,4,356.555,544
baseline,read_mysql_dash,5,335.145,544
baseline,walk_tokens_simple,1,2971.301,816
baseline,walk_tokens_simple,2,2732.822,816
baseline,walk_tokens_simple,3,2699.317,816
baseline,walk_tokens_simple,4,2784.66,816
baseline,walk_tokens_simple,5,2670.233,816
baseline,read_simple,1,7498.23,7392
baseline,read_simple,2,6022.787,7296
baseline,read_simple,3,5923.045,7392
baseline,read_simple,4,6116.212,7392
baseline,read_simple,5,6027.513,7296
baseline,tokenize_dense_concat_1024,1,67934.862,7960
baseline,tokenize_dense_concat_1024,2,43713.453,7960
baseline,tokenize_dense_concat_1024,3,40889.526,7960
baseline,tokenize_dense_concat_1024,4,41323.748,7960
baseline,tokenize_dense_concat_1024,5,40491.192,7960
baseline,index_composite,1,2576.299,2592
baseline,index_composite,2,2536.052,2592
baseline,index_composite,3,2368.733,2256
baseline,index_composite,4,2570.023,2256
baseline,index_composite,5,2751.251,2256
baseline,index_custom_separator,1,1641.6,1112
baseline,index_custom_separator,2,1713.488,1112
baseline,index_custom_separator,3,1453.366,968
baseline,index_custom_separator,4,1744.45,968
baseline,index_custom_separator,5,2155.984,968
baseline,next_empty,1,74.718,0
baseline,next_empty,2,64.6,0
baseline,next_empty,3,59.96,0
baseline,next_empty,4,65.367,0
baseline,next_empty,5,60.437,0
baseline,end_empty,1,47.316,0
baseline,end_empty,2,44.798,0
baseline,end_empty,3,44.042,0
baseline,end_empty,4,57.203,0
baseline,end_empty,5,44.192,0
baseline,read_cte,1,17135.112,20064
baseline,read_cte,2,15092.013,19968
baseline,read_cte,3,14977.632,20064
baseline,read_cte,4,15396.14,20064
baseline,read_cte,5,16060.055,19968
baseline,select_ambiguous,1,473.732,1056
baseline,select_ambiguous,2,434.847,1056
baseline,select_ambiguous,3,472.184,1056
baseline,select_ambiguous,4,476.182,1056
baseline,select_ambiguous,5,476.674,1056
baseline,read_insert_mysql_dash,1,427.964,544
baseline,read_insert_mysql_dash,2,336.454,544
baseline,read_insert_mysql_dash,3,329.657,544
baseline,read_insert_mysql_dash,4,334.776,544
baseline,read_insert_mysql_dash,5,341.464,544
baseline-control,tokenize_backslashes,1,379.861,488
