version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,index_custom_composite,5,1169.589,1140.016,1206.202,792,true
baseline-control,index_custom_composite,3,1182.966,1174.352,1198.087,792,true
before,index_custom_composite,1,977.135,977.135,977.135,888,true
current,index_custom_composite,5,381.836,377.005,448.873,0,true
baseline,index_custom_separator,5,1524.528,1447.185,1588.714,968,false
baseline-control,index_custom_separator,3,1468.16,1463.662,1522.773,968,false
before,index_custom_separator,1,138.975,138.975,138.975,216,true
current,index_custom_separator,5,84.069,83.395,98.532,48,true
baseline,index_early,5,156.802,154.461,167.147,120,true
baseline-control,index_early,3,168.464,157.552,169.565,120,true
before,index_early,1,184.31,184.31,184.31,264,true
current,index_early,5,63.231,61.915,68.538,0,true
baseline,index_from_inside_quote,5,333.691,326.731,337.556,464,true
baseline-control,index_from_inside_quote,3,332.018,327.096,336.127,464,true
before,index_from_inside_quote,1,374.143,374.143,374.143,464,true
current,index_from_inside_quote,5,140.588,137.074,158.931,0,true
baseline,index_hash,5,120829.07,118754.651,134827.108,128880,true
baseline-control,index_hash,3,115346.629,114650,117988.333,128880,true
before,index_hash,1,9185.044,9185.044,9185.044,16304,true
current,index_hash,5,6870.81,6433.424,7399.16,632,true
baseline,index_late,5,99205.921,94673.333,101354.634,64616,true
baseline-control,index_late,3,97654.967,94141.86,102113.3,64616,true
before,index_late,1,29571.168,29571.168,29571.168,32560,true
current,index_late,5,16181.906,15757.494,17983.922,0,true
baseline,index_missing,5,49796.429,47816.667,54865.803,50728,true
baseline-control,index_missing,3,49863.823,47943.812,51245.995,50728,true
before,index_missing,1,29469.196,29469.196,29469.196,32152,true
current,index_missing,5,16115.421,15655.798,17937.484,0,true
baseline,index_near_matches,5,2328260,2129540,2362380,3275376,true
baseline-control,index_near_matches,3,2178270,2115840,2344130,3275376,true
before,index_near_matches,1,59549.096,59549.096,59549.096,80544,true
current,index_near_matches,5,15240.145,15151.966,16952.644,0,true
baseline,index_quoted,5,53892.176,50100.988,65129.206,17664,true
baseline-control,index_quoted,3,56828.532,51832.512,72191.197,17664,true
before,index_quoted,1,69275.427,69275.427,69275.427,17736,true
current,index_quoted,5,4207.994,3722.553,4823.483,0,true
baseline,index_sensitive,5,365.205,362.404,390.53,480,true
