version,case,fork,ns,bytes
baseline,read_insert_executable_comment,3,114.22,248
baseline,read_insert_executable_comment,4,116.957,248
baseline,read_insert_executable_comment,5,109.032,248
baseline,next_hash,1,466.514,336
baseline,next_hash,2,489.599,336
baseline,next_hash,3,487.622,336
baseline,next_hash,4,490.757,336
baseline,next_hash,5,486.99,336
baseline,walk_bounds_large,1,62297.531,0
baseline,walk_bounds_large,2,36939.162,0
baseline,walk_bounds_large,3,64685.893,0
baseline,walk_bounds_large,4,66821.262,0
baseline,walk_bounds_large,5,64158.484,0
baseline,config_custom,1,2690.403,10288
baseline,config_custom,2,2786.663,10288
baseline,config_custom,3,3309.994,10288
baseline,config_custom,4,3176.304,10288
baseline,config_custom,5,3030.282,10288
baseline-control,select_ambiguous,1,449.739,1056
baseline-control,select_ambiguous,2,429.309,1056
baseline-control,select_ambiguous,3,429.794,1056
baseline-control,tokenize_backslashes,1,344.095,488
baseline-control,tokenize_backslashes,2,308.585,488
baseline-control,tokenize_backslashes,3,312.555,488
baseline-control,index_late,1,102113.3,64616
baseline-control,index_late,2,94141.86,64616
baseline-control,index_late,3,97654.967,64616
baseline-control,read_insert_insert,1,4637.642,7168
baseline-control,read_insert_insert,2,4464.921,7168
baseline-control,read_insert_insert,3,4479.284,7168
baseline-control,index_sensitive,1,361.954,480
baseline-control,index_sensitive,2,364.373,480
baseline-control,index_sensitive,3,362.577,480
baseline-control,index_whitespace,1,84.049,72
baseline-control,index_whitespace,2,75.569,72
baseline-control,index_whitespace,3,78.262,72
baseline-control,read_cte,1,16337.979,20064
baseline-control,read_cte,2,15061.168,20064
baseline-control,read_cte,3,15001.262,19968
baseline-control,read_simple,1,6160.05,7392
baseline-control,read_simple,2,5737.619,7392
baseline-control,read_simple,3,5752.15,7296
baseline-control,next_quote,1,20675.678,8760
baseline-control,next_quote,2,33527.778,8760
baseline-control,next_quote,3,19700.774,8760
baseline-control,read_insert_cte,1,24232.302,34976
baseline-control,read_insert_cte,2,23362.879,34976
baseline-control,read_insert_cte,3,23943.458,34976
baseline-control,read_literal,1,3595.799,4032
baseline-control,read_literal,2,3413.696,4032
baseline-control,read_literal,3,3426.489,3936
baseline-control,walk_bounds_comments,1,4537.47,0
baseline-control,walk_bounds_comments,2,4460.52,0
baseline-control,walk_bounds_comments,3,4474.512,0
baseline-control,index_hash,1,117988.333,128880
baseline-control,index_hash,2,115346.629,128880
baseline-control,index_hash,3,114650,128880
baseline-control,read_multiple,1,2516.091,4352
baseline-control,read_multiple,2,2432.111,4352
baseline-control,read_multiple,3,2426.639,4256
baseline-control,read_insert_multiple,1,3768.481,6208
baseline-control,read_insert_multiple,2,3694.639,6208
baseline-control,read_insert_multiple,3,3585.217,6208
baseline-control,read_upsert,1,143.299,344
baseline-control,read_upsert,2,140.264,344
baseline-control,read_upsert,3,140.168,344
baseline-control,end_quote,1,7718.565,0
baseline-control,end_quote,2,7431.968,0
baseline-control,end_quote,3,7541.27,0
baseline-control,tokenize_mybatis,1,5791.726,5752
baseline-control,tokenize_mybatis,2,5114.915,5752
baseline-control,tokenize_mybatis,3,5338.266,5752
baseline-control,index_missing,1,51245.995,50728
baseline-control,index_missing,2,47943.812,50728
baseline-control,index_missing,3,49863.823,50728
baseline-control,walk_tokens_comments,1,9409.977,1920
baseline-control,walk_tokens_comments,2,8123.628,1920
