version,fork,shape,size,ns,bytes,count,equivalent
baseline,5,deep_unary,8192,1712900,1061092,1,true
baseline,5,where_mybatis,2,2626.855,2600,2,true
baseline,5,json_constructor,1,1499.463,1136,0,false
baseline,5,join_named,4,5469.336,3968,4,true
baseline,5,deep_unary,256,54962.500,33048,1,true
baseline,5,where_positional,128,75334.961,35904,128,true
baseline,5,array_mybatis,8192,145122700,1814143276,8192,true
baseline,5,bare_concat,256,20068.750,3809.250,1,false
baseline,5,bare_concat,8192,603550,127628,1,false
baseline,5,where_mybatis,16,15619.678,15040,16,true
baseline,5,array_named,4096,269800,395776,4096,true
baseline,5,join_positional,4,5003.174,3824,4,true
baseline,5,bare_concat,4096,315700,43616,1,false
baseline,5,where_named,16,10840.088,7960,16,true
baseline,5,jdbc_escape,1,1855.908,1176,1,true
baseline,5,quoted_and_comments,2,1703.711,1192,2,true
baseline,5,array_mybatis,1024,2719587.500,27681512,1024,true
baseline,5,geometric_cast,1,1492.383,792,1,true
baseline,5,array_mybatis,256,205168.750,1777560,256,true
baseline,5,array_positional,8192,85000,139940,0,false
baseline,5,where_positional,16,9845.166,5224,16,true
baseline,5,bare_concat,1024,78525,11360,1,false
baseline,5,array_positional,4096,38350,25144,0,false
baseline,5,json_operator,1,1482.275,1128,1,true
baseline,5,array_named,1024,61287.500,87088,1024,true
baseline,5,deep_unary,4096,845850,510648,1,true
baseline,5,join_mybatis,4,6518.359,5896,4,true
baseline,5,cached_positional_same,2,12.816,0,2,true
baseline,5,cached_positional_equal,2,16.668,0,2,true
baseline,5,cached_named_same,2,12.162,0,2,true
baseline,5,cached_named_equal,2,16.163,0,2,true
before,1,array_positional,4096,904900,1613680,4096,true
before,1,array_mybatis,1024,229612.500,316088,1024,true
before,1,quoted_and_comments,2,2919.043,1608,2,true
before,1,array_named,4096,367100,510400,4096,true
before,1,no_parameters,0,1394.873,1400,0,true
before,1,where_positional,16,14309.717,6128,16,true
before,1,deep_unary,256,79481.250,38384,1,true
before,1,array_positional,1024,227462.500,418688,1024,true
before,1,array_named,256,18390.625,30168,256,true
before,1,json_constructor,1,2425.879,1576,1,true
before,1,where_positional,128,103413.916,42632,128,true
before,1,array_mybatis,8192,1860200,2745516,8192,true
before,1,geometric_cast,1,2197.314,1400,1,true
before,1,array_positional,8192,1893850,3567740,8192,true
before,1,where_mybatis,2,3087.109,4008,2,true
before,1,bare_concat,256,30846.875,13512,256,true
before,1,where_positional,2,2936.572,1872,2,true
before,1,deep_unary,4096,1245750,585168,1,true
before,1,array_positional,256,54956.250,101681.250,256,true
before,1,where_named,16,11817.139,11552,16,true
before,1,bare_concat,1024,123087.500,61056,1024,true
before,1,join_positional,4,8576.025,4312,4,true
before,1,deep_unary,8192,2504700,1209356,1,true
before,1,array_mybatis,4096,946450,1272216,4096,true
before,1,where_named,2,2157.910,2384,2,true
before,1,array_mybatis,256,55215.625,65544,256,true
before,1,jdbc_escape,1,2595.020,1584,1,true
before,1,bare_concat,8192,965800,575580,8192,true
before,1,array_named,8192,705200,1178932,8192,true
before,1,deep_unary,1024,314737.500,147760,1,true
before,1,bare_concat,4096,469850,203160,4096,true
before,1,array_named,1024,74175,122336,1024,true
before,1,join_mybatis,4,7482.813,8616,4,true
before,1,json_operator,1,2427.490,1536,1,true
before,1,where_mybatis,16,18321.973,25368,16,true
