version,fork,shape,size,ns,bytes,count,equivalent
baseline,5,cached_named_equal,2,17.606,0,2,true
before,1,array_positional,4096,861650,1613680,4096,true
before,1,array_mybatis,1024,226337.500,316088,1024,true
before,1,quoted_and_comments,2,2961.279,1608,2,true
before,1,array_named,4096,348600,510400,4096,true
before,1,no_parameters,0,1459.375,1400,0,true
before,1,where_positional,16,15157.666,6128,16,true
before,1,deep_unary,256,79775,38384,1,true
before,1,array_positional,1024,213687.500,418688,1024,true
before,1,array_named,256,18581.250,30168,256,true
before,1,json_constructor,1,2468.604,1576,1,true
before,1,where_positional,128,106292.725,42632,128,true
before,1,array_mybatis,8192,1902550,2745516,8192,true
before,1,geometric_cast,1,2166.748,1400,1,true
before,1,array_positional,8192,1693550,3567740,8192,true
before,1,where_mybatis,2,3179.004,4008,2,true
before,1,bare_concat,256,30450,13512,256,true
before,1,where_positional,2,2974.463,1872,2,true
before,1,deep_unary,4096,1278200,585168,1,true
before,1,array_positional,256,53909.375,101681.250,256,true
before,1,where_named,16,12277.441,11552,16,true
before,1,bare_concat,1024,124375,61056,1024,true
before,1,join_positional,4,8608.398,4312,4,true
before,1,deep_unary,8192,2470150,1209356,1,true
before,1,array_mybatis,4096,920800,1272216,4096,true
before,1,where_named,2,2236.670,2384,2,true
before,1,array_mybatis,256,56975,65544,256,true
before,1,jdbc_escape,1,2605.469,1584,1,true
before,1,bare_concat,8192,957200,575580,8192,true
before,1,array_named,8192,660550,1178932,8192,true
before,1,deep_unary,1024,310900,147760,1,true
before,1,bare_concat,4096,473900,203160,4096,true
before,1,array_named,1024,75437.500,122336,1024,true
before,1,join_mybatis,4,7615.576,8616,4,true
before,1,json_operator,1,2516.455,1536,1,true
before,1,where_mybatis,16,18984.375,25368,16,true
before,1,join_named,4,5850.098,5008,4,true
before,1,cached_positional_same,2,12.421,0,2,true
before,1,cached_positional_equal,2,16.240,0,2,true
before,1,cached_named_same,2,11.774,0,2,true
before,1,cached_named_equal,2,15.253,0,2,true
before,2,array_named,8192,667400,1178932,8192,true
before,2,where_mybatis,16,18827.393,25368,16,true
before,2,deep_unary,8192,2467850,1209356,1,true
before,2,bare_concat,256,31015.625,13512,256,true
before,2,deep_unary,1024,319750,147760,1,true
before,2,where_positional,128,105464.355,42632,128,true
before,2,where_positional,16,14620.020,6128,16,true
before,2,array_named,256,19790.625,30168,256,true
before,2,quoted_and_comments,2,2988.184,1608,2,true
before,2,join_mybatis,4,7396.533,8616,4,true
before,2,where_named,16,11944.580,11552,16,true
before,2,deep_unary,256,79937.500,38384,1,true
before,2,json_operator,1,2482.422,1536,1,true
before,2,jdbc_escape,1,2632.227,1584,1,true
before,2,array_named,4096,339650,510400,4096,true
before,2,array_mybatis,1024,226525,316088,1024,true
before,2,array_positional,1024,229775,418688,1024,true
before,2,array_mybatis,256,56028.125,65544,256,true
before,2,array_mybatis,8192,1846700,2745516,8192,true
before,2,bare_concat,4096,481100,203160,4096,true
before,2,where_named,2,2182.617,2384,2,true
before,2,geometric_cast,1,2178.516,1400,1,true
before,2,array_mybatis,4096,921650,1272216,4096,true
before,2,join_positional,4,8358.643,4312,4,true
before,2,array_named,1024,80575,122336,1024,true
before,2,array_positional,8192,1767600,3567740,8192,true
before,2,where_mybatis,2,2997.510,4008,2,true
before,2,bare_concat,1024,119437.500,61056,1024,true
before,2,deep_unary,4096,1243800,585168,1,true
before,2,bare_concat,8192,924650,575580,8192,true
before,2,no_parameters,0,1370.361,1400,0,true
before,2,array_positional,4096,830150,1613680,4096,true
before,2,where_positional,2,2916.650,1872,2,true
before,2,join_named,4,5753.223,5008,4,true
before,2,array_positional,256,54575,101168,256,true
before,2,json_constructor,1,2476.172,1576,1,true
before,2,cached_positional_same,2,12.272,0,2,true
before,2,cached_positional_equal,2,16,0,2,true
before,2,cached_named_same,2,12.171,0,2,true
before,2,cached_named_equal,2,15.474,0,2,true
before,3,deep_unary,256,80296.875,38384,1,true
before,3,array_named,4096,338600,510400,4096,true
before,3,quoted_and_comments,2,2893.506,1608,2,true
before,3,array_named,1024,75712.500,122336,1024,true
before,3,geometric_cast,1,2209.521,1400,1,true
before,3,where_positional,128,104547.852,42632,128,true
before,3,array_named,256,19218.750,30168,256,true
before,3,array_mybatis,1024,227837.500,316088,1024,true
before,3,no_parameters,0,1384.180,1400,0,true
before,3,json_operator,1,2508.496,1536,1,true
before,3,where_mybatis,16,19067.822,25368,16,true
before,3,array_positional,256,53890.625,101168,256,true
before,3,array_mybatis,256,55587.500,65544,256,true
before,3,deep_unary,4096,1248600,585168,1,true
before,3,where_positional,16,14562.354,6128,16,true
before,3,bare_concat,256,33937.500,13512,256,true
before,3,json_constructor,1,2453.271,1576,1,true
before,3,where_named,16,11964.990,11552,16,true
before,3,array_mybatis,4096,924300,1272216,4096,true
before,3,array_positional,8192,1698750,3567740,8192,true
before,3,bare_concat,1024,122287.500,61056,1024,true
before,3,where_named,2,2183.789,2384,2,true
before,3,join_positional,4,8400.830,4312,4,true
before,3,deep_unary,8192,2533700,1209356,1,true
before,3,deep_unary,1024,320012.500,149813,1,true
before,3,array_named,8192,696200,1178932,8192,true
before,3,array_positional,1024,218537.500,418688,1024,true
before,3,join_mybatis,4,7458.594,8616,4,true
before,3,bare_concat,4096,478250,203160,4096,true
before,3,join_named,4,5692.871,5008,4,true
before,3,where_positional,2,2958.887,1872,2,true
before,3,jdbc_escape,1,2605.420,1584,1,true
before,3,array_positional,4096,877900,1613680,4096,true
before,3,bare_concat,8192,940850,575580,8192,true
before,3,where_mybatis,2,3214.697,4008,2,true
before,3,array_mybatis,8192,1920850,2745516,8192,true
before,3,cached_positional_same,2,12.698,0,2,true
before,3,cached_positional_equal,2,16.166,0,2,true
before,3,cached_named_same,2,12.197,0,2,true
before,3,cached_named_equal,2,15.848,0,2,true
before,4,array_named,4096,320450,510400,4096,true
before,4,array_named,1024,77287.500,122336,1024,true
before,4,geometric_cast,1,2177.832,1400,1,true
before,4,array_named,8192,702950,1178932,8192,true
before,4,bare_concat,256,30165.625,13512,256,true
before,4,array_positional,256,54731.250,101168,256,true
