version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,next_hash,5,438.089,382.407,643.938,336,true
baseline-control,next_hash,3,521.957,515.004,577.379,336,true
before,next_hash,1,223.353,223.353,223.353,392,true
current,next_hash,5,118.597,106.172,145.314,248,true
baseline,next_quote,5,27350,18555.811,31185.338,8760,true
baseline-control,next_quote,3,36511.86,35491.493,40293.22,8760,true
before,next_quote,1,29232.869,29232.869,29232.869,8808,true
current,next_quote,5,1019.974,898.507,1076.058,8760,true
baseline,next_trivia,5,116.311,99.22,157.188,48,true
baseline-control,next_trivia,3,122.082,113.643,129.356,48,true
before,next_trivia,1,93.885,93.885,93.885,96,true
current,next_trivia,5,70.337,66.463,79.547,48,true
baseline,next_word,5,89.435,65.885,134.541,48,true
baseline-control,next_word,3,84.008,82.025,94.328,48,true
before,next_word,1,71.106,71.106,71.106,96,true
current,next_word,5,40.126,36.989,54.286,48,true
baseline,read_comments,5,20251.563,18816.216,21601.953,16448,true
baseline-control,read_comments,3,21086.713,19800.513,21446.371,16448,true
before,read_comments,1,33087.5,33087.5,33087.5,29200,true
current,read_comments,5,11235.236,10675.647,16578.926,6776,true
baseline,read_cte,5,16705.963,15154.573,20160.463,20064,true
baseline-control,read_cte,3,16918.169,15623.664,21283.923,20064,true
before,read_cte,1,17076.257,17076.257,17076.257,24368,true
current,read_cte,5,3752.121,3596.357,4143.362,4488,true
baseline,read_executable_comment,5,119.291,117.647,131.758,248,true
baseline-control,read_executable_comment,3,114.571,114.093,122.004,248,true
before,read_executable_comment,1,126.295,126.295,126.295,344,true
current,read_executable_comment,5,103.974,95.147,144.737,0,true
baseline,read_hash,5,1705321.429,1621188.889,1772775,1534112,true
baseline-control,read_hash,3,1502820,1450855.556,1585453.333,1534112,true
before,read_hash,1,65531.538,65531.538,65531.538,85464,true
current,read_hash,5,12357.387,12106.144,13288.585,2408,true
baseline,read_insert,5,98.116,95.765,111.923,224,true
baseline-control,read_insert,3,103.119,102.225,104.725,224,true
before,read_insert,1,121.932,121.932,121.932,320,true
current,read_insert,5,13.974,12.522,19.224,0,true
baseline,read_insert_comments,5,37084.81,35046.711,38538.921,33664,true
baseline-control,read_insert_comments,3,40395.869,36183.737,45531.285,33664,true
before,read_insert_comments,1,46600,46600,46600,46416,true
current,read_insert_comments,5,17608.208,16656.505,18565.866,6936,true
baseline,read_insert_cte,5,25295.074,23553.812,26737.212,34976,true
baseline-control,read_insert_cte,3,25904.6,25143.379,27641.583,34976,true
before,read_insert_cte,1,25310.889,25310.889,25310.889,38512,true
current,read_insert_cte,5,4942.9,4639.131,5683.381,4568,true
baseline,read_insert_executable_comment,5,125.324,121.774,131.951,248,true
baseline-control,read_insert_executable_comment,3,138.461,126.403,138.787,248,true
before,read_insert_executable_comment,1,123.312,123.312,123.312,344,true
current,read_insert_executable_comment,5,99.322,95.055,120.527,0,true
baseline,read_insert_hash,5,2801514.286,2595512.5,2869988.889,2562784,true
baseline-control,read_insert_hash,3,2749122.222,2443966.667,2929066.667,2562784,true
before,read_insert_hash,1,108374.178,108374.178,108374.178,98072,true
current,read_insert_hash,5,15384.61,14679.281,15808.146,2488,true
baseline,read_insert_insert,5,4840.681,4665.062,5343.191,7168,true
baseline-control,read_insert_insert,3,4737.169,4619.526,4945.873,7168,true
before,read_insert_insert,1,5589.973,5589.973,5589.973,8368,true
current,read_insert_insert,5,1044.329,1024.869,1632.651,704,true
baseline,read_insert_large,5,318845.07,311890.566,369306.78,357376,true
baseline-control,read_insert_large,3,321525,317723.81,431815.909,357376,true
before,read_insert_large,1,416153.571,416153.571,416153.571,453200,true
current,read_insert_large,5,68727.07,66823.611,76051.128,27328,true
baseline,read_insert_literal,5,6432.628,6089.622,7181.772,7424,true
baseline-control,read_insert_literal,3,6103.35,5864.795,7571.712,7424,true
before,read_insert_literal,1,7283.211,7283.211,7283.211,8048,true
current,read_insert_literal,5,1277.893,1235.049,1360.437,800,true
baseline,read_insert_multiple,5,4060.106,3878.938,5015.664,6208,true
baseline-control,read_insert_multiple,3,3966.464,3620.492,5141.208,6208,true
before,read_insert_multiple,1,4385.649,4385.649,4385.649,7216,true
current,read_insert_multiple,5,952.591,796.016,961.61,664,true
baseline,read_insert_mutation,5,349.088,306.004,378.02,520,true
baseline-control,read_insert_mutation,3,324.501,312.765,357.363,520,true
before,read_insert_mutation,1,349.499,349.499,349.499,712,true
current,read_insert_mutation,5,266.632,249.996,363.954,200,true
baseline,read_insert_mysql_dash,5,345.875,340.829,389.607,544,true
baseline-control,read_insert_mysql_dash,3,361.132,326.562,434.376,544,true
before,read_insert_mysql_dash,1,467.923,467.923,467.923,736,true
current,read_insert_mysql_dash,5,310.649,302.244,394.976,400,true
baseline,read_insert_quoted_large,5,417247.368,380493.22,474542.553,110528,true
baseline-control,read_insert_quoted_large,3,401155.738,374331.818,404421.154,110528,true
before,read_insert_quoted_large,1,501246.875,501246.875,501246.875,251280,true
current,read_insert_quoted_large,5,11398.548,10889.489,11636.54,26864,true
baseline,read_insert_simple,5,12381.045,12214.912,12646.748,16928,true
baseline-control,read_insert_simple,3,12700.968,11481.635,15751.746,16928,true
before,read_insert_simple,1,15514.054,15514.054,15514.054,20816,true
current,read_insert_simple,5,2523.984,2474.072,3190.908,1472,true
baseline,read_insert_upsert,5,2091.801,2049.079,2244.313,2696,true
baseline-control,read_insert_upsert,3,2088.86,2058.468,2637.535,2696,true
before,read_insert_upsert,1,2519.469,2519.469,2519.469,3368,true
current,read_insert_upsert,5,1016.673,951.723,1339.265,112,true
baseline,read_large,5,169080.882,162525,184691.473,140992,true
baseline-control,read_large,3,172394.406,161336.184,182789.109,140992,true
before,read_large,1,249357.282,249357.282,249357.282,236816,true
current,read_large,5,47522.016,46429.221,50317.738,27248,true
baseline,read_literal,5,3904.461,3537.277,3965.626,4032,true
baseline-control,read_literal,3,3948.172,3580.555,4994.484,4032,true
before,read_literal,1,4998.744,4998.744,4998.744,5424,true
current,read_literal,5,865.745,828.119,931.22,720,true
baseline,read_multiple,5,2558.473,2507.792,2950.188,4352,true
baseline-control,read_multiple,3,2753.034,2631,3495.956,4352,true
before,read_multiple,1,3133.753,3133.753,3133.753,5360,true
current,read_multiple,5,587.128,553.507,673.35,584,true
baseline,read_mutation,5,351.893,306.922,381.822,520,true
baseline-control,read_mutation,3,321.254,319.83,328.325,520,true
before,read_mutation,1,322.297,322.297,322.297,712,true
