version,case,fork,ns,bytes
baseline,read_insert_upsert,3,2091.801,2696
baseline,read_insert_upsert,4,2049.079,2696
baseline,read_insert_upsert,5,2073.442,2696
baseline,read_mysql_dash,1,347.809,544
baseline,read_mysql_dash,2,361.734,544
baseline,read_mysql_dash,3,370.085,544
baseline,read_mysql_dash,4,354.422,544
baseline,read_mysql_dash,5,354.118,544
baseline,walk_tokens_simple,1,2121.786,816
baseline,walk_tokens_simple,2,2670.117,816
baseline,walk_tokens_simple,3,4763.476,816
baseline,walk_tokens_simple,4,2991.53,816
baseline,walk_tokens_simple,5,1991.806,816
baseline,tokenize_dense_concat_4096,1,246722.656,31000
baseline,tokenize_dense_concat_4096,2,163594.531,31000
baseline,tokenize_dense_concat_4096,3,235455.814,31000
baseline,tokenize_dense_concat_4096,4,165117.969,31000
baseline,tokenize_dense_concat_4096,5,233728.125,31000
baseline,classify_replace,1,134.584,192
baseline,classify_replace,2,137.176,192
baseline,classify_replace,3,151.606,192
baseline,classify_replace,4,138.965,192
baseline,classify_replace,5,132.264,192
baseline,index_whitespace,1,101.503,72
baseline,index_whitespace,2,117.556,96
baseline,index_whitespace,3,147.665,72
baseline,index_whitespace,4,103.489,72
baseline,index_whitespace,5,94.077,72
baseline,tokenize_mybatis,1,6442.141,5752
baseline,tokenize_mybatis,2,5144.773,5752
baseline,tokenize_mybatis,3,9592.338,5752
baseline,tokenize_mybatis,4,5438.605,5752
baseline,tokenize_mybatis,5,6190.631,5752
baseline,end_hash,1,479.121,288
baseline,end_hash,2,359.915,288
baseline,end_hash,3,546.701,288
baseline,end_hash,4,464.63,288
baseline,end_hash,5,349.564,288
baseline,select_quotes,1,508.198,960
baseline,select_quotes,2,472.264,960
baseline,select_quotes,3,543.355,960
baseline,select_quotes,4,418.196,960
baseline,select_quotes,5,407.369,960
baseline,end_empty,1,40.052,0
baseline,end_empty,2,38.208,0
baseline,end_empty,3,38.146,0
baseline,end_empty,4,36.558,0
baseline,end_empty,5,36.317,0
baseline,select_simple,1,702.838,1440
baseline,select_simple,2,644.042,1440
baseline,select_simple,3,645.95,1440
baseline,select_simple,4,656.263,1440
baseline,select_simple,5,617.671,1440
baseline,index_missing,1,59615.106,50728
baseline,index_missing,2,59609.84,63112
baseline,index_missing,3,97405.514,50728
baseline,index_missing,4,57112.357,50728
baseline,index_missing,5,47689.589,50728
baseline,tokenize_dense_concat_256,1,15044.72,2200
baseline,tokenize_dense_concat_256,2,11391.139,2200
baseline,tokenize_dense_concat_256,3,14382.529,2200
baseline,tokenize_dense_concat_256,4,10829.544,2200
baseline,tokenize_dense_concat_256,5,15469.513,2200
baseline,tokenize_tiny,1,114.475,200
baseline,tokenize_tiny,2,112.484,200
baseline,tokenize_tiny,3,187.348,200
baseline,tokenize_tiny,4,112.193,200
baseline,tokenize_tiny,5,105.686,200
baseline,walk_bounds_simple,1,808.756,0
baseline,walk_bounds_simple,2,786.762,0
baseline,walk_bounds_simple,3,1592.129,0
baseline,walk_bounds_simple,4,1282.959,0
baseline,walk_bounds_simple,5,778.763,0
baseline,tokenize_comments,1,4398.499,2464
baseline,tokenize_comments,2,4096.17,2464
baseline,tokenize_comments,3,4297.392,2464
baseline,tokenize_comments,4,2908.262,2464
baseline,tokenize_comments,5,4291.469,2464
baseline,index_sensitive,1,497.885,480
baseline,index_sensitive,2,559.907,600
baseline,index_sensitive,3,667.224,480
baseline,index_sensitive,4,493.789,480
baseline,index_sensitive,5,423.585,480
baseline,index_custom_composite,1,1202.69,792
baseline,index_custom_composite,2,1446.337,864
baseline,index_custom_composite,3,1592.019,792
baseline,index_custom_composite,4,1183.394,792
baseline,index_custom_composite,5,1108.828,792
baseline,read_insert_large,1,369306.78,357376
baseline,read_insert_large,2,321749.206,357376
baseline,read_insert_large,3,318845.07,357376
baseline,read_insert_large,4,316426.667,357376
baseline,read_insert_large,5,311890.566,357376
baseline,tokenize_unicode,1,996.751,1088
baseline,tokenize_unicode,2,792.447,1088
baseline,tokenize_unicode,3,949.585,1088
baseline,tokenize_unicode,4,749.344,1088
baseline,tokenize_unicode,5,905.82,1088
baseline,tokenize_array,1,13082.286,4248
baseline,tokenize_array,2,10746.756,4248
baseline,tokenize_array,3,11260.475,4248
baseline,tokenize_array,4,10242.77,4248
baseline,tokenize_array,5,10679.527,4248
baseline,tokenize_large,1,68711.448,38120
baseline,tokenize_large,2,50934.772,38120
baseline,tokenize_large,3,76822.871,38120
baseline,tokenize_large,4,50607.346,38120
baseline,tokenize_large,5,66954.242,38120
baseline,tokenize_keep_comments,1,5232.122,3504
baseline,tokenize_keep_comments,2,4886.882,3504
baseline,tokenize_keep_comments,3,5690.012,3504
baseline,tokenize_keep_comments,4,4152.004,3504
baseline,tokenize_keep_comments,5,5405.413,3504
baseline,config_custom,1,2872.255,10288
baseline,config_custom,2,3195.975,10288
baseline,config_custom,3,3238.515,10288
baseline,config_custom,4,2942.87,10288
baseline,config_custom,5,3483.693,10288
baseline,tokenize_dense_concat_1024,1,61651.815,7960
baseline,tokenize_dense_concat_1024,2,42740.157,7960
baseline,tokenize_dense_concat_1024,3,60928.099,7960
baseline,tokenize_dense_concat_1024,4,40100.797,7960
baseline,tokenize_dense_concat_1024,5,58907.186,7960
baseline,index_composite,1,2652.538,2256
baseline,index_composite,2,2724.991,2592
baseline,index_composite,3,3633.583,2256
baseline,index_composite,4,2430.662,2256
baseline,index_composite,5,2204.036,2256
baseline,index_custom_separator,1,2011.723,968
baseline,index_custom_separator,2,1800.008,1112
baseline,index_custom_separator,3,2220.521,968
baseline,index_custom_separator,4,1648.373,968
baseline,index_custom_separator,5,1634.945,968
baseline,walk_bounds_hash,1,143403.448,127008
baseline,walk_bounds_hash,2,131662.13,127008
baseline,walk_bounds_hash,3,139188.824,127008
baseline,walk_bounds_hash,4,128097.241,127008
baseline,walk_bounds_hash,5,129084,127008
baseline,tokenize_simple,1,1423.635,1216
baseline,tokenize_simple,2,1269.603,1216
baseline,tokenize_simple,3,1780.673,1216
baseline,tokenize_simple,4,1078.258,1216
baseline,tokenize_simple,5,1417.358,1216
baseline,read_mutation,1,351.893,520
baseline,read_mutation,2,381.822,520
baseline,read_mutation,3,370.695,520
baseline,read_mutation,4,306.922,520
baseline,read_mutation,5,337.101,520
baseline,index_from_inside_quote,1,433.698,464
baseline,index_from_inside_quote,2,435.645,512
baseline,index_from_inside_quote,3,539.57,464
baseline,index_from_inside_quote,4,428.335,464
baseline,index_from_inside_quote,5,365.203,464
baseline,next_quote,1,24098.431,8760
