version,fork,shape,size,median_ns,median_bytes,expected,min_count,max_count,semantic_match
current,2,deep_unary,4096,1224150,585120,1,1,1,true
current,2,bare_concat,8192,921950,575532,8192,8192,8192,true
current,2,no_parameters,0,1421.240,1352,0,0,0,true
current,2,array_positional,4096,851250,1613632,4096,4096,4096,true
current,2,where_positional,2,2871.973,1824,2,2,2,true
current,2,join_named,4,5812.646,4960,4,4,4,true
current,2,array_positional,256,52784.375,101120,256,256,256,true
current,2,json_constructor,1,2427.881,1528,1,1,1,true
current,2,cached_positional_same,2,13.088,0,2,2,2,true
current,2,cached_positional_equal,2,17.266,0,2,2,2,true
current,2,cached_named_same,2,13.024,0,2,2,2,true
current,2,cached_named_equal,2,17.538,0,2,2,2,true
current,3,deep_unary,256,91031.250,38336,1,1,1,true
current,3,array_named,4096,341550,510352,4096,4096,4096,true
current,3,quoted_and_comments,2,3111.230,1560,2,2,2,true
current,3,array_named,1024,79500,122288,1024,1024,1024,true
current,3,geometric_cast,1,2299.023,1352,1,1,1,true
current,3,where_positional,128,115178.174,42584,128,128,128,true
current,3,array_named,256,19762.500,30120,256,256,256,true
current,3,array_mybatis,1024,238675,316040,1024,1024,1024,true
current,3,no_parameters,0,1448.047,1352,0,0,0,true
current,3,json_operator,1,2597.949,1488,1,1,1,true
current,3,where_mybatis,16,20909.375,25320,16,16,16,true
current,3,array_positional,256,56703.125,101120,256,256,256,true
current,3,array_mybatis,256,58071.875,65496,256,256,256,true
current,3,deep_unary,4096,1320350,585120,1,1,1,true
current,3,where_positional,16,15405.371,6080,16,16,16,true
current,3,bare_concat,256,32718.750,13464,256,256,256,true
current,3,json_constructor,1,2587.842,1528,1,1,1,true
current,3,where_named,16,12594.092,11504,16,16,16,true
current,3,array_mybatis,4096,947150,1272168,4096,4096,4096,true
current,3,array_positional,8192,1766700,3567692,8192,8192,8192,true
current,3,bare_concat,1024,126600,61008,1024,1024,1024,true
current,3,where_named,2,2404.199,2336,2,2,2,true
current,3,join_positional,4,9087.500,4264,4,4,4,true
current,3,deep_unary,8192,2596150,1209308,1,1,1,true
current,3,deep_unary,1024,324350,149765,1,1,1,true
current,3,array_named,8192,704100,1178884,8192,8192,8192,true
current,3,array_positional,1024,230812.500,418640,1024,1024,1024,true
current,3,join_mybatis,4,7798.535,8568,4,4,4,true
current,3,bare_concat,4096,494300,203112,4096,4096,4096,true
current,3,join_named,4,6134.082,4960,4,4,4,true
current,3,where_positional,2,3093.945,1824,2,2,2,true
current,3,jdbc_escape,1,2732.666,1536,1,1,1,true
current,3,array_positional,4096,890800,1613632,4096,4096,4096,true
current,3,bare_concat,8192,964300,575532,8192,8192,8192,true
current,3,where_mybatis,2,3230.469,3960,2,2,2,true
current,3,array_mybatis,8192,1950500,2745468,8192,8192,8192,true
current,3,cached_positional_same,2,13.585,0,2,2,2,true
current,3,cached_positional_equal,2,18.388,0,2,2,2,true
current,3,cached_named_same,2,15.536,0,2,2,2,true
current,3,cached_named_equal,2,17.561,0,2,2,2,true
current,4,array_named,4096,477400,510400,4096,4096,4096,true
current,4,array_named,1024,88462.500,122336,1024,1024,1024,true
current,4,geometric_cast,1,3424.951,1400,1,1,1,true
current,4,array_named,8192,823050,1178932,8192,8192,8192,true
current,4,bare_concat,256,34606.250,13512,256,256,256,true
current,4,array_positional,256,90740.625,101168,256,256,256,true
current,4,join_mybatis,4,8670.117,8616,4,4,4,true
current,4,join_positional,4,10023.584,4312,4,4,4,true
current,4,deep_unary,1024,389712.500,147760,1,1,1,true
current,4,where_positional,16,20503.320,6128,16,16,16,true
current,4,json_constructor,1,3340.771,1576,1,1,1,true
current,4,no_parameters,0,2361.963,1400,0,0,0,true
current,4,array_mybatis,8192,2487700,2745516,8192,8192,8192,true
current,4,join_named,4,8990.820,5008,4,4,4,true
current,4,deep_unary,4096,1440850,585168,1,1,1,true
current,4,quoted_and_comments,2,4625.488,1608,2,2,2,true
current,4,array_mybatis,1024,279562.500,316088,1024,1024,1024,true
current,4,json_operator,1,3884.424,1536,1,1,1,true
current,4,where_named,16,14389.209,11552,16,16,16,true
current,4,where_positional,128,149651.221,42632,128,128,128,true
current,4,deep_unary,256,87900,38384,1,1,1,true
current,4,jdbc_escape,1,4594.873,1584,1,1,1,true
current,4,array_positional,1024,246825,418688,1024,1024,1024,true
current,4,where_positional,2,3388.379,1872,2,2,2,true
current,4,array_named,256,23871.875,30168,256,256,256,true
current,4,where_mybatis,2,5220.850,4008,2,2,2,true
current,4,array_positional,8192,2765250,3567740,8192,8192,8192,true
current,4,bare_concat,8192,1022850,575580,8192,8192,8192,true
current,4,array_mybatis,4096,1043300,1280428,4096,4096,4096,true
current,4,bare_concat,1024,127862.500,61056,1024,1024,1024,true
current,4,bare_concat,4096,540150,203160,4096,4096,4096,true
current,4,where_mybatis,16,23970.947,25368,16,16,16,true
current,4,array_mybatis,256,79121.875,65544,256,256,256,true
current,4,array_positional,4096,1200100,1613680,4096,4096,4096,true
current,4,where_named,2,2424.170,2384,2,2,2,true
current,4,deep_unary,8192,2846250,1209356,1,1,1,true
current,4,cached_positional_same,2,13.714,0,2,2,2,true
current,4,cached_positional_equal,2,18.544,0,2,2,2,true
current,4,cached_named_same,2,12.650,0,2,2,2,true
current,4,cached_named_equal,2,17.582,0,2,2,2,true
current,5,deep_unary,1024,314975,147760,1,1,1,true
current,5,no_parameters,0,1405.371,1400,0,0,0,true
current,5,array_positional,1024,216562.500,418688,1024,1024,1024,true
current,5,where_positional,2,2911.328,1872,2,2,2,true
current,5,array_mybatis,4096,920000,1272216,4096,4096,4096,true
current,5,array_named,256,18903.125,30168,256,256,256,true
current,5,where_named,2,2345.459,2384,2,2,2,true
current,5,array_named,8192,667400,1178932,8192,8192,8192,true
current,5,array_positional,256,54115.625,101168,256,256,256,true
current,5,deep_unary,8192,2520250,1209356,1,1,1,true
current,5,where_mybatis,2,3176.660,4008,2,2,2,true
current,5,json_constructor,1,2487.646,1576,1,1,1,true
current,5,join_named,4,5970.410,5008,4,4,4,true
current,5,deep_unary,256,80325,38384,1,1,1,true
current,5,where_positional,128,105031.934,42632,128,128,128,true
current,5,array_mybatis,8192,1860950,2745516,8192,8192,8192,true
current,5,bare_concat,256,31318.750,14025.250,256,256,256,true
current,5,bare_concat,8192,940800,575580,8192,8192,8192,true
current,5,where_mybatis,16,18654.346,25368,16,16,16,true
current,5,array_named,4096,326100,510400,4096,4096,4096,true
current,5,join_positional,4,8455.713,4312,4,4,4,true
current,5,bare_concat,4096,472350,203160,4096,4096,4096,true
current,5,where_named,16,11905.908,11552,16,16,16,true
current,5,jdbc_escape,1,2621.045,1584,1,1,1,true
current,5,quoted_and_comments,2,2965.723,1608,2,2,2,true
current,5,array_mybatis,1024,229425,316088,1024,1024,1024,true
current,5,geometric_cast,1,2260.547,1400,1,1,1,true
current,5,array_mybatis,256,56040.625,65544,256,256,256,true
current,5,array_positional,8192,1715150,3567740,8192,8192,8192,true
current,5,where_positional,16,14506.445,6128,16,16,16,true
current,5,bare_concat,1024,120962.500,61056,1024,1024,1024,true
current,5,array_positional,4096,898450,1613680,4096,4096,4096,true
current,5,json_operator,1,2446.045,1536,1,1,1,true
current,5,array_named,1024,79650,122336,1024,1024,1024,true
current,5,deep_unary,4096,1245550,585168,1,1,1,true
current,5,join_mybatis,4,7480.518,8616,4,4,4,true
current,5,cached_positional_same,2,12.434,0,2,2,2,true
current,5,cached_positional_equal,2,16.103,0,2,2,2,true
current,5,cached_named_same,2,11.705,0,2,2,2,true
current,5,cached_named_equal,2,15.596,0,2,2,2,true
baseline_common8,1,array_positional,4096,38100,25144,4096,0,0,false
baseline_common8,1,array_mybatis,1024,2731062.500,27681488,1024,1024,1024,true
baseline_common8,1,quoted_and_comments,2,1905.273,1192,2,2,2,true
baseline_common8,1,array_named,4096,275100,395776,4096,4096,4096,true
baseline_common8,1,no_parameters,0,1847.803,1248,0,0,0,true
baseline_common8,1,where_positional,16,11125.049,5224,16,16,16,true
baseline_common8,1,deep_unary,256,59278.125,33048,1,1,1,true
baseline_common8,1,array_positional,1024,10562.500,6712,1024,0,0,false
baseline_common8,1,array_named,256,16946.875,22776,256,256,256,true
baseline_common8,1,json_constructor,1,1969.775,1136,1,0,0,false
baseline_common8,1,where_positional,128,85889.941,35904,128,128,128,true
baseline_common8,1,array_mybatis,8192,156554150,1814143252,8192,8192,8192,true
baseline_common8,1,geometric_cast,1,1782.080,792,1,1,1,true
baseline_common8,1,array_positional,8192,83750,139940,8192,0,0,false
baseline_common8,1,where_mybatis,2,2934.766,2552,2,2,2,true
baseline_common8,1,bare_concat,256,24356.250,3296,256,1,1,false
baseline_common8,1,where_positional,2,1824.512,1456,2,2,2,true
