version,case,fork,ns,bytes,median_batch_ms
baseline,positional_insert_placeholders,3,771.258,1944,23.136197484
baseline,positional_insert_placeholders,4,654.621,1944,19.32441192
baseline,positional_insert_placeholders,5,1095.758,1944,21.128405756
baseline,positional_select_columns,1,849.344,1952,21.612407424000004
baseline,positional_select_columns,2,818.495,1952,21.685206530000002
baseline,positional_select_columns,3,850.148,1952,22.120000812
baseline,positional_select_columns,4,797.387,1952,18.093508417
baseline,positional_select_columns,5,1147.228,1952,21.726203864
baseline,positional_update_map,1,1089.092,3024,23.473199876000002
baseline,positional_update_map,2,1038.098,3024,20.261596764
baseline,positional_update_map,3,1153.392,3024,22.91789904
baseline,positional_update_map,4,1043.783,3024,19.148199135
baseline,positional_update_map,5,1317.986,3024,23.272996788000004
baseline,positional_naming_UPPER_CAMEL_CASE,1,4541.279,5888,20.099700854
baseline,positional_naming_UPPER_CAMEL_CASE,2,4324.624,5888,17.808801631999998
baseline,positional_naming_UPPER_CAMEL_CASE,3,4847.973,5888,22.000101474
baseline,positional_naming_UPPER_CAMEL_CASE,4,4394.526,5888,17.740701461999997
baseline,positional_naming_UPPER_CAMEL_CASE,5,4974.043,5888,11.171700578
baseline,raw_join_on,1,1726.046,3952,22.240102710000002
baseline,raw_join_on,2,1627.809,3952,20.616200985
baseline,raw_join_on,3,1880.648,3952,19.688503912
baseline,raw_join_on,4,1742.101,3952,19.804204168000002
baseline,raw_join_on,5,2194.225,3952,14.2098011
baseline,positional_union_raw,1,3122.763,5200,20.138698587
baseline,positional_union_raw,2,3241.631,5200,15.261598747999999
baseline,positional_union_raw,3,3705.624,5200,21.414801095999998
baseline,positional_union_raw,4,3282.281,5200,9.095200651
baseline,positional_union_raw,5,4082.443,5200,25.135601551000004
baseline,named_insert_placeholders,1,979.277,2920,7.527702299
baseline,named_insert_placeholders,2,942.46,2888,9.18710008
baseline,named_insert_placeholders,3,1096.09,2888,9.9524972
baseline,named_insert_placeholders,4,918.241,2888,9.544196954
baseline,named_insert_placeholders,5,1393.94,2920,22.52049464
baseline,raw_batch_64,1,28357.125,97344,22.090200375
baseline,raw_batch_64,2,28635.402,95328,20.302500018
baseline,raw_batch_64,3,30378.211,98888,21.052100223
baseline,raw_batch_64,4,27470.755,97344,20.38330021
baseline,raw_batch_64,5,33995.016,97344,21.824800272000004
baseline,named_in_256,1,26595.056,90712,18.829299648000003
baseline,named_in_256,2,26047.826,90712,17.97299994
baseline,named_in_256,3,28916.23,90712,22.09199972
baseline,named_in_256,4,27110.313,90712,14.720899958999999
baseline,named_in_256,5,31070.439,90712,13.453500087
baseline,positional_delete,1,339.444,1504,20.372410548
baseline,positional_delete,2,340.099,1504,21.393927594999997
baseline,positional_delete,3,370.774,1504,22.655403722
baseline,positional_delete,4,339.323,1504,12.465709051
baseline,positional_delete,5,508.298,1504,21.850714424
baseline,positional_insert_values,1,833.029,2104,22.648392452
baseline,positional_insert_values,2,798.553,2104,8.334497661
baseline,positional_insert_values,3,921.183,2104,23.134589862
baseline,positional_insert_values,4,838.444,2104,13.628907219999999
baseline,positional_insert_values,5,978.739,2104,24.816906084000003
baseline,positional_late_modifier,1,670.595,2360,20.90781091
baseline,positional_late_modifier,2,665.323,2360,21.187210935
baseline,positional_late_modifier,3,791.074,2360,21.314697856
baseline,positional_late_modifier,4,667.572,2360,9.906100907999999
baseline,positional_late_modifier,5,808.13,2360,23.52789682
baseline,positional_in_16,1,873.842,2656,22.068005868
baseline,positional_in_16,2,872.895,2656,20.243307945
baseline,positional_in_16,3,894.564,2656,21.770109504
baseline,positional_in_16,4,844.248,2656,11.146606344
baseline,positional_in_16,5,1036.635,2656,25.755196575
baseline,named_union_raw,1,3145.67,5200,20.05050058
baseline,named_union_raw,2,3248.274,5200,19.856698961999996
baseline,named_union_raw,3,3703.714,5200,12.066700211999999
baseline,named_union_raw,4,3161.106,5200,20.977099416
baseline,named_union_raw,5,4280.621,5200,13.09870026
baseline,named_condition_only,1,5561.348,9560,10.560999852
baseline,named_condition_only,2,5638.139,9560,21.509500285
baseline,named_condition_only,3,5745.231,9560,19.815301719
baseline,named_condition_only,4,5460.149,9560,20.524700091000003
baseline,named_condition_only,5,6488.601,9560,11.270699937
baseline,named_union_builder,1,10683.608,17272,22.029599696
baseline,named_union_builder,2,10136.332,17272,20.171300679999998
baseline,named_union_builder,3,11241.752,17272,11.039400464
baseline,named_union_builder,4,9910.509,17272,21.030100098000002
baseline,named_union_builder,5,11907.32,17272,9.59729992
baseline,named_naming_CAMEL_CASE,1,4989.585,9624,21.510100934999997
baseline,named_naming_CAMEL_CASE,2,5031.847,9624,14.899298967
baseline,named_naming_CAMEL_CASE,3,5640.851,9624,22.659298467
baseline,named_naming_CAMEL_CASE,4,5026.766,9624,14.235801312
baseline,named_naming_CAMEL_CASE,5,5617.575,9624,21.959100675000002
baseline,positional_dialect_Oracle,1,1109.627,3496,22.717393571
baseline,positional_dialect_Oracle,2,1070.978,3496,20.178296497999998
baseline,positional_dialect_Oracle,3,1137.988,3496,20.771694964
baseline,positional_dialect_Oracle,4,1057.243,3496,9.378802653
baseline,positional_dialect_Oracle,5,1551.552,3496,29.4406992
baseline,positional_join_using,1,855.365,3056,21.373005255
baseline,positional_join_using,2,875.6,3056,19.9199
baseline,positional_join_using,3,1034.587,3056,21.255589914999998
baseline,positional_join_using,4,855.858,3056,13.192195212
baseline,positional_join_using,5,1126.849,3056,23.032793559999998
baseline,named_late_modifier,1,792.421,2816,17.962599228
