version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,named_in_16,5,2196.227,2125.852,3108.208,7600,true
before,named_in_16,5,2140.493,2043.684,2302.899,7680,true
current,named_in_16,5,1744.93,1667.542,2008.148,5520,true
baseline,named_in_17,5,2312.441,2233.001,3105.427,7888,true
before,named_in_17,5,2230.071,2115.169,2405.596,7968,true
current,named_in_17,5,1802.982,1756.45,1876.65,5736,true
baseline,named_in_256,5,27110.313,26047.826,31070.439,90712,true
before,named_in_256,5,25293.154,24654.598,28231.701,90792,true
current,named_in_256,5,21698.242,20768.522,22307.889,71352,true
baseline,named_in_expression,5,27734.888,26819.526,35998.201,90680,true
before,named_in_expression,5,26656.606,25784.655,29410.306,91824,true
current,named_in_expression,5,23887.141,22633.138,26063.393,72456,true
baseline,named_insert_entity,5,939.934,929.709,1211.184,2760,true
before,named_insert_entity,5,926.059,880.67,961.976,2760,true
current,named_insert_entity,5,764.629,758.197,826.294,1904,true
baseline,named_insert_placeholders,5,979.277,918.241,1393.94,2888,true
before,named_insert_placeholders,5,990.05,971.766,1110.43,3040,true
current,named_insert_placeholders,5,724.659,667.038,772.025,1952,true
baseline,named_insert_values,5,1140.738,1105.847,1355.547,3048,true
before,named_insert_values,5,1130.615,1087.698,1182.413,3176,true
current,named_insert_values,5,851.322,797.429,905.969,2176,true
baseline,named_join_on,5,1731.295,1627.116,2243.307,4288,true
before,named_join_on,5,1396.497,1376.714,1493.099,4352,true
current,named_join_on,5,1267.609,1143.578,1286.966,2808,true
baseline,named_join_using,5,996.201,964.234,1166.035,3512,true
before,named_join_using,5,984.7,972.965,1147.842,3680,true
current,named_join_using,5,828.034,789.716,896.973,2136,true
baseline,named_late_modifier,5,792.421,755.611,948.595,2816,true
before,named_late_modifier,5,795.929,746.367,825.883,2896,true
current,named_late_modifier,5,623.622,604.985,751.134,1816,true
baseline,named_mixed_literals,5,1576.534,1497.181,1966.79,3768,true
before,named_mixed_literals,5,1440.218,1377.673,1791.319,3944,true
current,named_mixed_literals,5,1140.162,1101.576,1472.086,2416,true
baseline,named_naming_CAMEL_CASE,5,5031.847,4989.585,5640.851,9624,true
before,named_naming_CAMEL_CASE,5,6118.229,5843.265,7152.212,11104,true
current,named_naming_CAMEL_CASE,5,3474.356,3369.386,3668.308,5168,true
baseline,named_naming_KEBAB_CASE,5,6144.584,5896.059,8238.979,10584,true
before,named_naming_KEBAB_CASE,5,5964.936,5823.641,7147.74,11392,true
current,named_naming_KEBAB_CASE,5,4339.008,4166.37,5283.088,6936,true
baseline,named_naming_NO_CHANGE,5,4928.042,4858.716,6999.662,9624,true
before,named_naming_NO_CHANGE,5,4762.6,4517.645,5353.578,9624,true
current,named_naming_NO_CHANGE,5,3016.21,2934.182,3253.245,5168,true
baseline,named_naming_SCREAMING_SNAKE_CASE,5,6171.375,6031.151,8264.422,10600,true
before,named_naming_SCREAMING_SNAKE_CASE,5,5920.12,5694.119,7255.98,11408,true
current,named_naming_SCREAMING_SNAKE_CASE,5,4379.058,4002.241,4627.749,6952,true
baseline,named_naming_UPPER_CAMEL_CASE,5,6314.777,5997.521,7969.488,10584,true
before,named_naming_UPPER_CAMEL_CASE,5,6282.447,6109.309,7981.679,11120,true
current,named_naming_UPPER_CAMEL_CASE,5,4616.645,4396.429,4851.966,6664,true
baseline,named_nested,5,1434.201,1405.831,1670.836,3648,true
before,named_nested,5,1323.155,1278.785,1595.01,3816,true
current,named_nested,5,1086.446,1011.688,1199.268,2256,true
baseline,named_pagination,5,1256.323,1209.281,1457.119,4072,true
before,named_pagination,5,1243.117,1215.492,1406.359,4192,true
current,named_pagination,5,986.101,928.917,1031.398,2384,true
baseline,named_raw_expression,5,1529.139,1454.403,2051.381,2624,true
before,named_raw_expression,5,1018.316,1010.674,1043.407,2616,true
current,named_raw_expression,5,942.916,899.772,1026.064,1744,true
baseline,named_repeated_names,5,27233.643,25627.248,34781.338,64920,true
before,named_repeated_names,5,26322.317,25060.646,29098.777,70080,true
current,named_repeated_names,5,19908.189,19689.6,20708.92,42584,true
baseline,named_retry_rollback,5,4697.998,4326.425,5213.084,8264,true
before,named_retry_rollback,5,4590.874,4442.642,4945.015,8432,true
current,named_retry_rollback,5,3489.66,3276.506,4199.915,5304,true
baseline,named_row_in,5,1382.476,1336.595,1568.226,4016,true
before,named_row_in,5,1316.779,1308.432,1383.81,4144,true
current,named_row_in,5,1088.208,1025.561,1152.559,2680,true
baseline,named_select_columns,5,829.085,801.959,978.123,1952,true
before,named_select_columns,5,821.121,785.832,831.993,2104,true
current,named_select_columns,5,618.864,594.324,631.134,1216,true
baseline,named_select_entity,5,591.489,584.624,687.286,2000,true
before,named_select_entity,5,574.072,555.521,675.34,1992,true
current,named_select_entity,5,544.837,481.283,563.485,1304,true
baseline,named_select_expressions,5,2155.324,2129.048,2817.996,2728,true
before,named_select_expressions,5,1535.364,1514.167,1645.927,2512,true
current,named_select_expressions,5,1438.099,1389.117,1898.932,1936,true
baseline,named_select_star,5,301.444,280.007,328.765,1424,true
before,named_select_star,5,247.348,231.31,258.42,1240,true
current,named_select_star,5,217.822,207.707,278.138,880,true
baseline,named_subquery_raw,5,637.687,598.692,804.289,2272,true
before,named_subquery_raw,5,629.207,625.79,645.844,2352,true
current,named_subquery_raw,5,506.011,493.871,530.164,1344,true
baseline,named_subquery_structured,5,1813.761,1706.035,1966.41,5488,true
before,named_subquery_structured,5,1725.355,1680.267,1942.605,5640,true
current,named_subquery_structured,5,1501.599,1443.485,1597.209,3568,true
baseline,named_union_builder,5,10683.608,9910.509,11907.32,17272,true
before,named_union_builder,5,4295.994,4113.966,4650.828,8912,true
current,named_union_builder,5,4338.309,3970.251,4633.747,6840,true
baseline,named_union_raw,5,3248.274,3145.67,4280.621,5200,true
